id;date;data_table
145;2020/01/11 12:34:36;"[{""table_modbus"":[{""name"":""resistivity-1"",""value"":""16327""},{""name"":""capitance-4"",""value"":""16329""},{""name"":""temperature"",""value"":""16347""},{""name"":""laminar_1H"",""value"":""1""},{""name"":""laminar_1L"",""value"":""2375""}]}]"
146;2020/01/16 16:13:52;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""}]}]"
147;2020/01/16 16:15:30;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""}]}]"
148;2020/01/16 16:15:57;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""}]}]"
149;2020/01/16 16:16:00;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
150;2020/01/16 16:16:48;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
151;2020/01/16 16:17:10;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
152;2020/01/16 16:17:27;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
153;2020/01/16 16:18:27;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
154;2020/01/16 16:21:13;"[{""table_modbus"":[{""name"":""capitance-4"",""value"":""16329""},{""name"":""capitance-5"",""value"":""16343""},{""name"":""temperature"",""value"":""16347""},{""name"":""resistivity-3"",""value"":""16359""},{""name"":""capitance-1"",""value"":""16358""}]}]"
