id;fecha;resistivity-1;capitance-4;temperature;laminar_1H;laminar_1L;capitance-5;resistivity-3;capitance-1;resistivity-2;capitance-6;resistivity-4;resistivity-5;resistivity-6;capitance-2;capitance-3;turbulent_1H;turbulent_1L;turb_laminar_1H;turb_laminar_1L;flow_regimen;resistivity-2_1H;resistivity-2_1L;watercut_1H;watercut_1L;ph;dissolved-oxygen;tss-180;tss-90;oil-water;conductivity-AC;conductivity-DC;ph_1H;ph_1L;dissolved-oxygen_1H;dissolved-oxygen_1L;tss-180_1H;tss-180_1L;tss-90_1H;tss-90_1L;temperature_1H;temperature_1L;oil-water_1H;oil-water_1L;conductivity-AC_1H;conductivity-AC_1L;conductivity-DC_1H;conductivity-DC_1L;water-quality_1H;water-quality_1L;PH_1H;PH_1L;Conductivity-AC_1H;Conductivity-AC_1L
145;2020/01/11 12:34:36;16327;16329;16347;1;2375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;2020/01/16 16:13:52;;16329;16347;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;2020/01/16 16:15:30;;16329;16347;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2020/01/16 16:15:57;;16329;16347;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;2020/01/16 16:16:00;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;2020/01/16 16:16:48;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;2020/01/16 16:17:10;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;2020/01/16 16:17:27;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;2020/01/16 16:18:27;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;2020/01/16 16:21:13;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;2020/01/16 16:21:22;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;2020/01/16 16:21:25;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;2020/01/16 16:21:28;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;2020/01/16 16:21:30;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;2020/01/16 16:22:47;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;2020/01/16 16:22:50;;16329;16347;;;16343;16359;16358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;2020/01/16 16:27:17;16329;16329;;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;2020/01/16 16:30:15;16329;16329;;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;2020/01/16 16:30:47;16329;16329;16347;;;16343;16359;16358;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;2020/01/16 16:31:40;16329;16329;16347;;;16343;16359;16358;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;2020/01/16 16:32:54;16329;16329;16347;;;16343;16359;16358;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;2020/01/16 16:34:07;16329;;16347;;;16343;;;;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;2020/01/16 16:34:41;16329;;16347;;;16343;16359;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;2020/01/16 16:45:51;16329;;16347;;;16343;16359;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;2020/01/16 16:52:58;16329;16329;;;;16343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;2020/01/16 16:57:04;;;;;;16343;;;;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;2020/01/16 16:57:40;;;16347;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;2020/01/16 16:57:55;;;16347;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;2020/01/16 16:58:01;;;16347;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;2020/01/16 16:58:05;;;16347;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;2020/01/16 16:59:04;16329;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;2020/01/16 16:59:10;16329;16329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;2020/01/16 17:00:13;;16329;;;;16343;;;;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;2020/01/16 17:00:57;;16329;;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;2020/01/16 17:02:39;;16329;;;;16343;;;16345;16345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;2020/01/16 18:40:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;2020/01/16 18:46:41;;;;;;;;;;;16342;16377;8836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
